local_id	local_gloss	global_gloss	global_id
1	I	I	1209
2	thou	THOU	1215
3	we	WE	1212
4	this	THIS	1214
5	that	THAT	78
6	who	WHO	1235
7	what	WHAT	1236
8	not	NOT	1240
9	all	ALL	98
10	many	MANY	1198
11	one	ONE	1493
12	two	TWO	1498
13	big	BIG	1202
14	long	LONG	1203
15	small	SMALL	1246
16	woman	WOMAN	962
17	man	MAN	1554
20	bird	BIRD	937
21	dog	DOG	2009
22	louse	LOUSE	1392
23	tree	TREE	906
24	seed	SEED	714
25	leaf	LEAF	628
26	root	ROOT	670
28	skin	SKIN	763
29	meat	MEAT	634
30	blood	BLOOD	946
31	bone	BONE	1394
32	fat	FAT (SUBSTANCE)	1282
35	tail	TAIL	1220
37	hair	HAIR	1040
38	head	HEAD	1256
39	ear	EAR	1247
40	eye	EYE	1248
41	nose	NOSE	1221
43	tooth	TOOTH	1380
44	tongue	TONGUE	1205
45	claw	CLAW	72
46	foot	FOOT	1301
47	knee	KNEE	1371
48	hand	HAND	1277
49	belly	BELLY	1251
50	neck	NECK	1333
51	breast	BREAST	1402
52	heart	HEART	1223
55	eat	EAT	1336
56	bite	BITE	1403
57	see	SEE	1409
59	know	KNOW (SOMETHING)	1410
60	sleep	SLEEP	1585
61	die	DIE	1494
66	come	COME	1446
68	sit	SIT	1416
69	stand	STAND	1442
70	give	GIVE	1447
71	say	SAY	1458
72	sun	SUN	1343
73	moon	MOON	1313
74	star	STAR	1430
75	water	WATER	948
76	rain	RAIN (PRECIPATION)	658
77	stone	STONE	857
78	sand	SAND	671
79	earth	EARTH (SOIL)	1228
80	cloud	CLOUD	1489
81	smoke	SMOKE (EXHAUST)	778
83	ash	ASH	646
84	burn	BURN	2102
85	road	ROAD	667
86	mountain	MOUNTAIN	639
87	red	RED	156
88	green	GREEN	1425
89	yellow	YELLOW	1424
90	white	WHITE	1335
91	black	BLACK	163
92	night	NIGHT	1233
93	hot	HOT	1286
94	cold	COLD (OF TEMPERATURE)	1287
95	full	FULL	1429
96	new	NEW	1231
97	good	GOOD	1035
98	round	ROUND	1395
99	dry	DRY	1398
100	name	NAME	1405
