local_id	local_gloss	global_gloss	global_id
1	I	I	1209
2	you	YOU	1213
3	we	WE	1212
11	one	ONE	1493
12	two	TWO	1498
19	fish	FISH	227
21	dog	DOG	2009
22	louse	LOUSE	1392
23	tree	TREE	906
25	leaf	LEAF	628
28	skin	SKIN	763
30	blood	BLOOD	946
31	bone	BONE	1394
39	ear	EAR	1247
40	eye	EYE	1248
41	nose	NOSE	1221
43	tooth	TOOTH	1380
44	tongue	TONGUE	1205
48	hand	HAND	1277
51	breast	BREAST	1402
54	drink	DRINK	1401
57	see	SEE	1409
58	hear	HEAR	1408
61	die	DIE	1494
66	come	COME	1446
72	sun	SUN	1343
74	star	STAR	1430
75	water	WATER	948
77	stone	STONE	857
82	fire	FIRE	221
85	road (path)	ROAD	667
86	mountain	MOUNTAIN	639
92	night	NIGHT	1233
95	full	FULL	1429
96	new	NEW	1231
100	name	NAME	1405
