local_id	local_gloss	global_gloss	global_id
I	I	I	1209
all	all	ALL	98
and	and	AND	1577
animal	animal	ANIMAL	619
ant	ant	ANT	587
ashes	ashes	ASH	646
at	at	AT	1461
back	back	BACK	1291
bad	bad	BAD	1292
bark	bark	BARK	1204
because	because	BECAUSE	1157
belly	belly	BELLY	1251
big	big	BIG	1202
bird	bird	BIRD	937
bite	bite	BITE	1403
black	black	BLACK	163
blood	blood	BLOOD	946
blow	blow	BLOW (OF WIND)	175
bone	bone	BONE	1394
breast	breast	BREAST	1402
breathe	breathe	BREATHE	1407
burn	burn	BURN	2102
child	child	CHILD	2099
cloud	cloud	CLOUD	1489
cold	cold	COLD (OF TEMPERATURE)	1287
come	come	COME	1446
count	count	COUNT	1420
cut	cut	CUT	1432
day	day	DAY (NOT NIGHT)	1225
die	die	DIE	1494
dig	dig	DIG	1418
dirty	dirty	DIRTY	1230
dog	dog	DOG	2009
drink	drink	DRINK	1401
dry	dry	DRY	1398
dull	dull	BLUNT	379
dust	dust	DUST	2
ear	ear	EAR	1247
earth	earth	EARTH (SOIL)	1228
eat	eat	EAT	1336
egg	egg	EGG	744
eye	eye	EYE	1248
fall	fall	FALL	1280
far	far	FAR	1406
fat	fat	FAT (SUBSTANCE)	1282
father	father	FATHER	1217
fear	fear	FEAR (BE AFRAID)	1419
feather	feather	FEATHER	1201
few	few	FEW	1242
fight	fight	FIGHT	1423
fingernail	fingernail	FINGERNAIL	1258
fire	fire	FIRE	221
fish	fish	FISH	227
five	five	FIVE	493
float	float	FLOAT	1574
flow	flow	FLOW	2003
flower	flower	FLOWER	239
fly	fly	FLY (MOVE THROUGH AIR)	1441
fog	fog	FOG	249
foot	foot	FOOT	1301
four	four	FOUR	1500
freeze	freeze	FREEZE	1431
fruit	fruit	FRUIT	1507
full	full	FULL	1429
give	give	GIVE	1447
good	good	GOOD	1035
grass	grass	GRASS	606
green	green	GREEN	1425
guts	guts	INTESTINES	1991
hair	hair	HAIR	1040
hand	hand	HAND	1277
he	he	HE	1211
head	head	HEAD	1256
hear	hear	HEAR	1408
heart	heart	HEART	1223
heavy	heavy	HEAVY	1210
here	here	HERE	136
hit	hit	HIT	1433
hold	hold	HOLD	1448
horn	horn	HORN (KERATINIZED SKIN)	1393
how	how	HOW	1239
hunt	hunt	HUNT	1435
husband	husband	HUSBAND	1200
ice	ice	ICE	617
if	if	IF	1459
in	in	IN	1460
kill	kill	KILL	1417
knee	knee	KNEE	1371
know	know	KNOW (SOMETHING)	1410
lake	lake	LAKE	624
laugh	laugh	LAUGH	1355
leaf	leaf	LEAF	628
