local_id	local_gloss	global_gloss	global_id
1	hand	HAND	1277
2	left	LEFT	244
3	right	RIGHT	1019
4	leg/foot	LEG OR FOOT	2098
5	to walk	WALK	1443
6	road/path	ROAD	667
7	to come	COME	1446
8	to turn	TURN	1588
9	to swim	SWIM	1439
10	dirty	DIRTY	1230
11	dust	DUST	2
12	skin	SKIN	763
13	back	BACK	1291
14	belly	BELLY	1251
15	bone	BONE	1394
16	intestines	INTESTINES	1991
17	liver	LIVER	1224
18	breast	BREAST	1402
19	shoulder	SHOULDER	1482
20	to know, be knowledgeable	KNOW (SOMETHING)	1410
21	to think	THINK	2271
22	to fear	FEAR (BE AFRAID)	1419
23	blood	BLOOD	946
24	head	HEAD	1256
25	neck	NECK	1333
26	hair	HAIR	1040
27	nose	NOSE	1221
28	to breathe	BREATHE	1407
29	to sniff, smell	SNIFF	375
30	mouth	MOUTH	674
31	tooth	TOOTH	1380
32	tongue	TONGUE	1205
33	to laugh	LAUGH	1355
34	to cry	CRY	1839
35	to vomit	VOMIT	1278
36	to spit	SPIT	1440
37	to eat	EAT	1336
38	to chew	CHEW	321
39	to cook	COOK (SOMETHING)	1100
40	to drink	DRINK	1401
41	to bite	BITE	1403
42	to suck	SUCK	1421
43	ear	EAR	1247
44	to hear	HEAR	1408
45	eye	EYE	1248
46	to see	SEE	1409
47	to yawn	YAWN	1028
48	to sleep	SLEEP	1585
49	to lie down	LIE (REST)	1411
50	to dream	DREAM	1920
51	to sit	SIT	1416
52	to stand	STAND	1442
53	person/human being	PERSON	683
54	man/male	MAN	1554
55	woman/female	WOMAN	962
56	child	CHILD	2099
57	husband	HUSBAND	1200
58	wife	WIFE	1199
59	mother	MOTHER	1216
60	father	FATHER	1217
61	house	HOUSE	1252
62	thatch/roof	THATCH OR ROOF	2100
63	name	NAME	1405
64	to say	SAY	1458
65	rope	ROPE	1218
66	to tie up, fasten	FASTEN	1094
67	to sew	SEW	1457
68	needle	NEEDLE (FOR SEWING)	1382
69	to hunt	HUNT	1435
70	to shoot	SHOOT	1172
71	to stab, pierce	STAB	1434
72	to hit	HIT	1433
73	to steal	STEAL	713
74	to kill	KILL	1417
75	to die, be dead	DIE	1494
76	to live, be alive	BE ALIVE	1422
77	to scratch	SCRATCH	1436
78	to cut, hack	CUT	1432
79	stick/wood	STICK	1295
80	to split	SPLIT	1437
81	sharp	SHARP	1396
82	dull, blunt	BLUNT	379
83	to work	WORK, ACTIVITY	1086
84	to plant	PLANT (SOMETHING)	1486
85	to choose	CHOOSE	1750
86	to grow	GROW	479
87	to swell	SWELL	1573
88	to squeeze	SQUEEZE	1414
89	to hold	HOLD	1448
90	to dig	DIG	1418
91	to buy	BUY	1869
92	to open, uncover	OPEN	1156
93	to pound, beat	POUND	354
94	to throw	THROW	1456
95	to fall	FALL	1280
96	dog	DOG	2009
97	bird	BIRD	937
98	egg	EGG	744
99	feather	FEATHER	1201
100	wing	WING	1257
101	to fly	FLY (MOVE THROUGH AIR)	1441
102	rat	RAT	1490
103	meat/flesh	MEAT	634
104	fat/grease	FAT (SUBSTANCE)	1282
105	tail	TAIL	1220
106	snake	SNAKE	730
107	worm (earthworm)	WORM	1219
108	louse	LOUSE	1392
109	mosquito	MOSQUITO	1509
110	spider	SPIDER	843
111	fish	FISH	227
112	rotten	ROTTEN	1728
113	branch	BRANCH	1531
114	leaf	LEAF	628
115	root	ROOT	670
116	flower	FLOWER	239
117	fruit	FRUIT	1507
118	grass	GRASS	606
119	earth/soil	EARTH (SOIL)	1228
120	stone	STONE	857
121	sand	SAND	671
122	water	WATER	948
123	to flow	FLOW	2003
124	sea	SEA	1474
125	salt	SALT	1274
126	lake	LAKE	624
127	woods/forest	FOREST	420
128	sky	SKY	1732
129	moon	MOON	1313
130	star	STAR	1430
131	cloud	CLOUD	1489
132	fog	FOG	249
133	rain	RAIN (PRECIPATION)	658
134	thunder	THUNDER	1150
