language	iso_code	gloss	global_id	local_id	transcription	cognate_class	notes
Woleaian	woe	hand	1277	1	paaú	8	paú-(l) 8
Woleaian	woe	to fly	1441	101	yali	13	
Woleaian	woe	rat	1490	102	geeshi	16	geshi- 16
Woleaian	woe	meat/flesh	634	103	fitigo	10	
Woleaian	woe	tail	1220	105	úúgú	1	úgú- 1
Woleaian	woe	louse	1392	108	gúúsú	1	gúsú 1
Woleaian	woe	mosquito	1509	109	laamʷu	1	lamʷu- 1; (tau)-lomʷu 1
Woleaian	woe	rotten	1728	112	mashe	17	baa 18
Woleaian	woe	branch	1531	113	raa	1	
Woleaian	woe	leaf	628	114	shéé	1	shéé- 1
Woleaian	woe	root	670	115	wegare	2	wagera-(li) 2
Woleaian	woe	flower	239	116	péé-	10	péé-(raŋe); péé-(beshe) 10
Woleaian	woe	fruit	1507	117	uwaa	1	
Woleaian	woe	grass	606	118	fatili	1	
Woleaian	woe	earth/soil	1228	119	bbelú	13	
Woleaian	woe	skin	763	12	giili	1	gili 1
Woleaian	woe	stone	857	120	faaú	1	faú- 1; faasú 1; fasú- 1
Woleaian	woe	sand	671	121	ppiye	12	
Woleaian	woe	water	948	122	shaalú	1	shalú- 1
Woleaian	woe	to flow	2003	123	heļ	12	
Woleaian	woe	sea	1474	124	me-tawe	13	sati- 23; saati 23; tati- 1; taati 1
Woleaian	woe	woods/forest	420	127	waalú	17	walú- 17
Woleaian	woe	sky	1732	128	laaŋi	1	laŋi- 1
Woleaian	woe	moon	1313	129	me-rame	7	
Woleaian	woe	back	1291	13	taguru	12	
Woleaian	woe	star	1430	130	fúús	1	fúsú-(li) 1
Woleaian	woe	rain	658	133	uute	1	uta- 1
Woleaian	woe	thunder	1150	134	pachche	16	
Woleaian	woe	wind	960	136	yaaŋi	1	yaŋi- 1; yaŋiyeŋi 1
Woleaian	woe	to blow	175	137	péépéé	14	uguugu 15
Woleaian	woe	cold	1287	139	fééú	11	(gari)-ffééú 11
Woleaian	woe	belly	1251	14	uube	11	uba-(l) 11
Woleaian	woe	wet	1726	141	chchogi	12	
Woleaian	woe	heavy	1210	142	chchau	9	
Woleaian	woe	fire	221	143	yaafi	1	yafi- 1
Woleaian	woe	to burn	2102	144	gúú	10	
