ID	DOCULECT	CONCEPT	IDS_ID	COUNTERPART	IPA	COGID	TOKENS	CLPA_TOKENS	CLPA_IDS	CONCEPTICON_ID	CONCEPTICON_GLOSS	GLOTTOLOG
434	German	I	2.91	ich	ɪx	1069	ɪ x	ɪ x	v219 c772	1209	I	stan1295
435	French	I	2.91	je	ʒə	1069	ʒ ə	ʒ ə	c679 v155	1209	I	stan1290
436	French	I	2.91	moi	mwɑ	6010	m w ɑ	m w ɑ	c239 c457 v089	1209	I	stan1290
437	Dutch	I	2.91	ik	ɪk	1069	ɪ k	ɪ k	v219 c831	1209	I	dutc1256
438	English	I	2.91	I	aɪ	1069	aɪ	aɪ	d032	1209	I	stan1293
2789	German	a hundred	13.105	hundert	hʊndərt	867	h ʊ n d ə r t	h ʊ n d ə r t	c401 v056 c105 c143 v155 c151 c118	1634	HUNDRED	stan1295
2790	French	a hundred	13.105	cent	sɑ̃	867	s ɑ̃	s ɑ̃	c087 v088	1634	HUNDRED	stan1290
2791	Dutch	a hundred	13.105	honderd	hɔndərt	867	h ɔ n d ə r t	h ɔ n d ə r t	c401 v067 c105 c143 v155 c151 c118	1634	HUNDRED	dutc1256
2792	English	a hundred	13.105	hundred	hʌndrəd	867	h ʌ n d r ə d	h ʌ n d r ə d	c401 v097 c105 c143 c151 v155 c143	1634	HUNDRED	stan1293
2793	German	a thousand	13.106	tausend	tauzənt	875	t au z ə n t	t au z ə n t	c118 d026 c078 v155 c105 c118	1843	THOUSAND	stan1295
2794	French	a thousand	13.106	mille	mil	876	m i l	m i l	c239 v191 c548	1843	THOUSAND	stan1290
2795	Dutch	a thousand	13.106	duizend	dœyzənt	875	d œi z ə n t	d œi z ə n t	c143 d042 c078 v155 c105 c118	1843	THOUSAND	dutc1256
2796	English	a thousand	13.106	thousand	θaʊzṇd	875	θ aʊ z ṇ d	θ aʊ z n̩ d	c413 d028 c078 c095 c143	1843	THOUSAND	stan1293
2801	German	all	13.14	alle	alə	1559	a l ə	a l ə	v130 c548 v155	98	ALL	stan1295
2802	French	all	13.14	chaque	ʃak	1560	ʃ a k	ʃ a k	c677 v130 c831	98	ALL	stan1290
2804	Dutch	all	13.14	alle	ɑlə	1559	ɑ l ə	ɑ l ə	v089 c548 v155	98	ALL	dutc1256
2805	English	all	13.14	all	ɔːl	1559	ɔː l	ɔː l	v065 c548	98	ALL	stan1293
1178	German	bald	4.93	kahl	kaːl	1144	k aː l	k aː l	c831 v137 c548	1125	BALD	stan1295
1179	French	bald	4.93	chauve	ʃov	1146	ʃ o v	ʃ o v	c677 v042 c446	1125	BALD	stan1290
1180	Dutch	bald	4.93	kaal	kaːl	1144	k aː l	k aː l	c831 v137 c548	1125	BALD	dutc1256
1181	English	bald	4.93	bald	bɔːld	1145	b ɔː l d	b ɔː l d	c254 v065 c548 c143	1125	BALD	stan1293
1190	German	blind	4.97	blind	blɪnt	278	b l ɪ n t	b l ɪ n t	c254 c548 v219 c105 c118	1653	BLIND	stan1295
1191	French	blind	4.97	aveugle	avœɡl	279	a v œ ɡ l	a v œ g l	v130 c446 v178 c824 c548	1653	BLIND	stan1290
1192	Dutch	blind	4.97	blind	blɪnt	278	b l ɪ n t	b l ɪ n t	c254 c548 v219 c105 c118	1653	BLIND	dutc1256
1193	English	blind	4.97	blind	blaɪnd	278	b l aɪ n d	b l aɪ n d	c254 c548 d032 c105 c143	1653	BLIND	stan1293
1929	German	broken	9.261	gebrochen	ɡə#brɔxən	53	ɡ ə # b r ɔ x ə n	g ə _ b r ɔ x ə n	c824 v155 m001 c254 c151 v067 c772 v155 c105	588	BROKEN	stan1295
1930	French	broken	9.261	brisé	bʀiz	54	b ʀ i z	b ʀ i z	c254 c761 v191 c078	588	BROKEN	stan1290
1931	French	broken	9.261	cassé	kase	56	k a s e	k a s e	c831 v130 c087 v200	588	BROKEN	stan1290
1932	Dutch	broken	9.261	kapot	kaːpɔt	55	k aː p ɔ t	k aː p ɔ t	c831 v137 c288 v067 c118	588	BROKEN	dutc1256
1933	Dutch	broken	9.261	stuk	stʉk	57	s t ʉ k	s t ʉ k	c087 c118 v102 c831	588	BROKEN	dutc1256
1934	English	broken	9.261	broken	brəʊkən	53	b r əʊ k ə n	b r əu k ə n	c254 c151 d029 c831 v155 c105	588	BROKEN	stan1293
70	German	calm	1.322	Meeresstille	meːrəs#ʃtɪlə	1835	m eː r ə s # ʃ t ɪ l ə	m eː r ə s _ ʃ t ɪ l ə	c239 v202 c151 v155 c087 m001 c677 c118 v219 c548 v155	258	CALM	stan1295
71	French	calm	1.322	étale	etale	1837	e t a l e	e t a l e	v200 c118 v130 c548 v200	258	CALM	stan1290
72	Dutch	calm	1.322	kalm	kɑlm	1836	k ɑ l m	k ɑ l m	c831 v089 c548 c239	258	CALM	dutc1256
73	Dutch	calm	1.322	rustig	rʉstəx	1838	r ʉ s t ə x	r ʉ s t ə x	c151 v102 c087 c118 v155 c772	258	CALM	dutc1256
74	English	calm	1.322	calm	kɑːm	1836	k ɑː m	k ɑː m	c831 v091 c239	258	CALM	stan1293
