ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	CLPA_TOKENS	CLPA_IDS	CONCEPTICON_ID	GLOTTOLOG
810	Dutch	I	ɪk	ɪ k	240	ɪ k	v219 c831	1209	dutc1256
811	Swedish	I	jaːg	j aː g	240	j aː g	c564 v137 c824	1209	swed1254
812	English	I	aɪ	aɪ	240	aɪ	d032	1209	stan1293
813	German	I	ɪx	ɪ x	240	ɪ x	v219 c772	1209	stan1295
814	Spanish	I	ʝo	ʝ o	240	ʝ o	c574 v042	1209	stan1288
815	Danish	I	jɑj	j ɑ j	240	j ɑ j	c564 v089 c564	1209	dani1285
816	Bulgarian	I	as	a s	240	a s	v130 c087	1209	bulg1262
817	Greek	I	eɣo	e ɣ o	240	e ɣ o	v200 c774 v042	1209	mode1248
818	Armenian	I	jɛs	j ɛ s	240	j ɛ s	c564 v229 c087	1209	nucl1235
819	Romanian	I	jo	j o	240	j o	c564 v042	1209	roma1327
820	Russian	I	ja	j a	240	j a	c564 v130	1209	russ1263
821	Polish	I	ja	j a	240	j a	c564 v130	1209	poli1260
822	Norwegian	I	jæj	j æ j	240	j æ j	c564 v198 c564	1209	norw1258
823	French	I	ʒə	ʒ ə	240	ʒ ə	c679 v155	1209	stan1290
824	Czech	I	jaː	j aː	240	j aː	c564 v137	1209	czec1258
825	Icelandic	I	jɛɣ	j ɛ ɣ	240	j ɛ ɣ	c564 v229 c774	1209	icel1247
826	Italian	I	io	j o	240	j o	c564 v042	1209	ital1282
827	Hindi	I	mɛ̃ː	m ɛ̃ː	239	m ɛ̃ː	c239 v226	1209	hind1269
828	Portuguese	I	ew	e w	240	e w	v200 c457	1209	port1283
1	Dutch	all	ɑlə	ɑ l ə	5	ɑ l ə	v089 c548 v155	98	dutc1256
2	Swedish	all	alː	a lː	5	a lː	v130 c539	98	swed1254
3	English	all	ɔːl	ɔː l	5	ɔː l	v065 c548	98	stan1293
4	German	all	al	a l	5	a l	v130 c548	98	stan1295
