ID	DOCULECT	CONCEPT	COUNTERPART	IPA	TOKENS	COGID	CLPA_TOKENS	CLPA_IDS	CONCEPTICON_ID	GLOTTOLOG
568	Albanian	I	unë	unə	u n ə	1068	u n ə	v027 c105 v155	1209	gheg1238
569	English	I	I	ai	ai	1066	ai	d030	1209	stan1293
570	French	I	je	ʒə	ʒ ə	1066	ʒ ə	c679 v155	1209	stan1290
571	German	I	ich	ix	i x	1066	i x	v191 c772	1209	stan1295
572	Hawaiian	I	au	au	a u	1070	a u	v130 v027	1209	hawa1245
573	Navajo	I	shí	ʃi	ʃ i	1069	ʃ i	c677 v191	1209	nava1243
574	Turkish	I	ben	ben	b e n	1067	b e n	c254 v200 c105	1209	nucl1301
1	Albanian	all	gjithë	ɟiθ	ɟ i θ	4	ɟ i θ	c603 v191 c413	98	gheg1238
2	English	all	all	ɔl	ɔ l	1	ɔ l	v067 c548	98	stan1293
3	French	all	tous	tut	t u t	2	t u t	c118 v027 c118	98	stan1290
4	German	all	alle	al	a l	1	a l	v130 c548	98	stan1295
5	Hawaiian	all	apau	apau	a p a u	7	a p a u	v130 c288 v130 v027	98	hawa1245
6	Navajo	all	t'áá 'áƚtso	ʔayɬʦo	ʔ ai ɬ ʦ o	5	ʔ ai ɬ ts o	c405 d030 c534 c015 v042	98	nava1243
7	Turkish	all	bütün	bytyn	b y t y n	3	b y t y n	c254 v166 c118 v166 c105	98	nucl1301
8	Albanian	and	e	e	e	-916	e	v200	1577	gheg1238
9	English	and	and	and	a n d	915	a n d	v130 c105 c143	1577	stan1293
10	French	and	et	e	e	916	e	v200	1577	stan1290
11	German	and	und	unt	u n t	915	u n t	v027 c105 c118	1577	stan1295
12	Hawaiian	and	ā	aː	aː	919	aː	v137	1577	hawa1245
13	Navajo	and	dóó	doː	d oː	918	d oː	c143 v035	1577	nava1243
14	Turkish	and	ve	ve	v e	-917	v e	c446 v200	1577	nucl1301
15	Albanian	animal	kafshë	kafʃ	k a f ʃ	-1018	k a f ʃ	c831 v130 c447 c677	619	gheg1238
16	English	animal	animal	anəməl	a n ə m ə l	-1016	a n ə m ə l	v130 c105 v155 c239 v155 c548	619	stan1293
