language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens
Merina_Malagasy		Eight	1705	1705	valo	105	v a l o
Thao		Eight	1705	1705	kaspat	821	k a s p a t
Palauan		Eight	1705	1705	kleiai	1394	k l e i a i
Tunjung		Eight	1705	1705	kaluŋk	1479	k a l u ŋ k
Bare'e		Eight	1705	1705	uaju	1551	u a j u
Iban		Eight	1705	1705	lapan	68	l a p a n
Berawan_Long_Terawan		Eight	1705	1705	mareh	1697	m a r e h
Moken		Eight	1705	1705	waloj	105	w a l o j
Hanunoo		Eight	1705	1705	walu	105	w a l u
Tetum		Eight	1705	1705	ualu	1928	u a l u
Tsou		Eight	1705	1705	voeu	105	v o e u
Tsou		Eight	1705	1705	woru	105	w o r u
Tsou		Eight	1705	1705	mevarou	105	m e v a r o u
Central Amis		Eight	1705	1705	falu	105	f a l u
Central Amis		Eight	1705	1705	falo	105	f a l o
Chamorro		Eight	1705	1705	gualo	2592	g u a l o
Chamorro		Eight	1705	1705	gualguijai	2593	g u a l g u i j a i
Palauan		Fifty	1717	1717	okejim	1398	o k e j i m
Bare'e		Fifty	1717	1717	alima#mpuju	1555	a l i m a _ m p u j u
Iban		Fifty	1717	1717	limaʔ#puluh	1630	l i m a ʔ _ p u l u h
Berawan_Long_Terawan		Fifty	1717	1717	dimah#pulo	1700	d i m a h _ p u l o
Tetum		Fifty	1717	1717	limanulu	1931	l i m a n u l u
Chamorro		Fifty	1717	1717	limijai#na#fulu	2599	l i m i j a i _ n a _ f u l u
Merina_Malagasy		Five	493	493	dimj	134	d i m j
Thao		Five	493	493	riːmaʔ	134	r iː m a ʔ
Thao		Five	493	493	hrima	134	h r i m a
Palauan		Five	493	493	kleim	134	k l e i m
Tunjung		Five	493	493	limaq	134	l i m a q
Bare'e		Five	493	493	alima	134	a l i m a
Iban		Five	493	493	limaʔ	134	l i m a ʔ
Berawan_Long_Terawan		Five	493	493	dimːah	134	d i mː a h
Moken		Five	493	493	lemaʔ	134	l e m a ʔ
Hanunoo		Five	493	493	lima	134	l i m a
Tetum		Five	493	493	lima	134	l i m a
Tsou		Five	493	493	eimo	134	e i m o
Tsou		Five	493	493	rimo	134	r i m o
Nias		Five	493	493	lima	134	l i m a
Central Amis		Five	493	493	lima	134	l i m a
Central Amis		Five	493	493	lima	134	l i m a
Chamorro		Five	493	493	lima	134	l i m a
Maloh		Four	1500	1500	ampat	358	a m p a t
Merina_Malagasy		Four	1500	1500	éfatra	358	e f a t r a
Thao		Four	1500	1500	pat	358	p a t
Palauan		Four	1500	1500	oaŋ	-358	o a ŋ
Tunjung		Four	1500	1500	pat	358	p a t
Bare'e		Four	1500	1500	opo	358	o p o
Bare'e		Four	1500	1500	pata	358	p a t a
Iban		Four	1500	1500	ampat	358	a m p a t
Iban		Four	1500	1500	empat	358	e m p a t
Berawan_Long_Terawan		Four	1500	1500	paʔ	358	p a ʔ
Moken		Four	1500	1500	paːt	358	p aː t
Hanunoo		Four	1500	1500	upat	358	u p a t
Wuna		Four	1500	1500	paʔ	358	p a ʔ
Mailu		Four	1500	1500	tourai	2098	t o u r a i
Tsou		Four	1500	1500	sʉptʉ	358	s ʉ p t ʉ
Nias		Four	1500	1500	õfa	358	õ f a
Central Amis		Four	1500	1500	sepat	358	s e p a t
Central Amis		Four	1500	1500	spat	358	s p a t
Chamorro		Four	1500	1500	farfatai	2589	f a r f a t a i
Chamorro		Four	1500	1500	fatfat	2590	f a t f a t
Banoni		Four	1500	1500	toatsi	358	t o a t s i
Singhi		Four	1500	1500	pat	358	p a t
Banggi		Four	1500	1500	afad	358	a f a d
Maloh		I	1209	1209	iak	7	i a k
Merina_Malagasy		I	1209	1209	iz	7	i z
Thao		I	1209	1209	jaku	7	j a k u
Palauan		I	1209	1209	ŋak	7	ŋ a k
Tunjung		I	1209	1209	ap	1471	a p
Bare'e		I	1209	1209	aku	7	a k u
Iban		I	1209	1209	aku	7	a k u
Berawan_Long_Terawan		I	1209	1209	akːoh	7	a kː o h
Hanunoo		I	1209	1209	aku	7	a k u
Wuna		I	1209	1209	inodi	697	i n o d i
Tetum		I	1209	1209	hau	7	h a u
Mailu		I	1209	1209	ia	-7	i a
Tsou		I	1209	1209	ao	7	a o
Nias		I	1209	1209	jaʔo	-7	j a ʔ o
Central Amis		I	1209	1209	aku	7	a k u
Central Amis		I	1209	1209	kako	7	k a k o
Chamorro		I	1209	1209	guahu	7	g u a h u
Banoni		I	1209	1209	na	-7	n a
Singhi		I	1209	1209	aku	7	a k u
Banggi		I	1209	1209	ou	7	o u
Merina_Malagasy		Nine	1483	1483	sivj	339	s i v j
Thao		Nine	1483	1483	tamaso	695	t a m a s o
Palauan		Nine	1483	1483	klteiu	1395	k l t e i u
Tunjung		Nine	1483	1483	tiant	1480	t i a n t
Bare'e		Nine	1483	1483	sasio	1552	s a s i o
Iban		Nine	1483	1483	semilan	1627	s e m i l a n
