language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens
Dutch		I	1209	1209	ɪk	240	ɪ k
Swedish		I	1209	1209	jaːg	240	j aː g
English		I	1209	1209	aɪ	240	aɪ
German		I	1209	1209	ɪx	240	ɪ x
Spanish		I	1209	1209	ʝo	240	ʝ o
Danish		I	1209	1209	jɑj	240	j ɑ j
Bulgarian		I	1209	1209	as	240	a s
Greek		I	1209	1209	eɣo	240	e ɣ o
Armenian		I	1209	1209	jɛs	240	j ɛ s
Romanian		I	1209	1209	jo	240	j o
Russian		I	1209	1209	ja	240	j a
Polish		I	1209	1209	ja	240	j a
Norwegian		I	1209	1209	jæj	240	j æ j
French		I	1209	1209	ʒə	240	ʒ ə
Czech		I	1209	1209	jaː	240	j aː
Icelandic		I	1209	1209	jɛɣ	240	j ɛ ɣ
Italian		I	1209	1209	io	240	j o
Hindi		I	1209	1209	mɛ̃ː	239	m ɛ̃ː
Portuguese		I	1209	1209	ew	240	e w
Dutch		all	98	98	ɑlə	5	ɑ l ə
Swedish		all	98	98	alː	5	a lː
English		all	98	98	ɔːl	5	ɔː l
German		all	98	98	al	5	a l
Spanish		all	98	98	entero	2	e n t e r o
Danish		all	98	98	æˀl	5	æˀ l
Bulgarian		all	98	98	vsiʧki	3	v s i tʃ k i
Greek		all	98	98	kaθe	7	k a θ e
Romanian		all	98	98	tot	6	t o t
Russian		all	98	98	fsʲe	3	f sʲ e
Polish		all	98	98	fʃɨsʦɨ	3	f ʃ ɨ s ts ɨ
Norwegian		all	98	98	ɑlə	5	ɑ l ə
French		all	98	98	tu	6	t u
Czech		all	98	98	fʃɪxnʲɪ	3	f ʃ ɪ x nʲ ɪ
Icelandic		all	98	98	at͡lir	5	a tl i r
Italian		all	98	98	intɛro	2	i n t ɛ r o
Hindi		all	98	98	səb	4	s ə b
Portuguese		all	98	98	todu	6	t o d u
Spanish		all	98	98	toðo	6	t o ð o
Romanian		all	98	98	ɨntreg	2	ɨ n t r e g
French		all	98	98	ɑ̃tje	2	ɑ̃ t j e
Italian		all	98	98	tutto	6	t u tː o
Hindi		all	98	98	saːraː	1	s aː r aː
Dutch		ashes	646	646	ɑs	10	ɑ s
Swedish		ashes	646	646	asːka	10	a sː k a
English		ashes	646	646	æʃ	10	æ ʃ
German		ashes	646	646	aʃə	10	a ʃ ə
Spanish		ashes	646	646	θeniθa	12	θ e n i θ a
Danish		ashes	646	646	asg	10	a s g
Bulgarian		ashes	646	646	pɛpɛl	8	p ɛ p ɛ l
Greek		ashes	646	646	staxti	14	s t a x t i
Armenian		ashes	646	646	moχiɾ	9	m o χ i ɾ
Romanian		ashes	646	646	ʧenuʃə	12	tʃ e n u ʃ ə
Russian		ashes	646	646	zɐla	11	z ɐ l a
Polish		ashes	646	646	pɔpʲuw	8	p ɔ pʲ u w
Norwegian		ashes	646	646	ɑsk	-10	ɑ s k
French		ashes	646	646	sɑ̃dʁ	12	s ɑ̃ d ʁ
Czech		ashes	646	646	popɛl	8	p o p ɛ l
Icelandic		ashes	646	646	aska	10	a s k a
Italian		ashes	646	646	ʧenere	12	tʃ e n e r e
Hindi		ashes	646	646	raːkʰ	13	r aː kʰ
Portuguese		ashes	646	646	sĩzɐ	12	s ĩ z ɐ
Russian		ashes	646	646	pʲepɪlʲ	8	pʲ e p ɪ lʲ
Dutch		bark	1204	1204	bɑst	19	b ɑ s t
Swedish		bark	1204	1204	barːk	15	b a rː k
English		bark	1204	1204	bɑːrk	-15	b ɑː r k
German		bark	1204	1204	rɪndə	20	r ɪ n d ə
Spanish		bark	1204	1204	koɾteθa	18	k o ɾ t e θ a
Danish		bark	1204	1204	bɑːg	15	b ɑː g
Bulgarian		bark	1204	1204	kora	23	k o r a
Greek		bark	1204	1204	flios	16	f l j o s
Armenian		bark	1204	1204	kɛʁɛv	22	k ɛ ʁ ɛ v
Romanian		bark	1204	1204	skwarʦə	23	s k w a r ts ə
Russian		bark	1204	1204	kɐra	23	k ɐ r a
Polish		bark	1204	1204	kɔra	23	k ɔ r a
Norwegian		bark	1204	1204	bɑɾk	-15	b ɑ ɾ k
French		bark	1204	1204	ekɔʁs	23	e k ɔ ʁ s
Czech		bark	1204	1204	kuːra	23	k uː r a
Icelandic		bark	1204	1204	bœrkʏr	15	b œ r k ʏ r
Italian		bark	1204	1204	korteʧʧa	18	k o r t e tːʃ a
Hindi		bark	1204	1204	ʧʰaːl	21	tʃʰ aː l
Portuguese		bark	1204	1204	kaʃkɐ	17	k a ʃ k ɐ
Dutch		belly	1251	1251	bœyk	27	b œi k
Swedish		belly	1251	1251	maːge	32	m aː g e
English		belly	1251	1251	bɛlɪ	28	b ɛ l ɪ
German		belly	1251	1251	baux	27	b au x
