language	iso_code	gloss	global_id	local_id	transcription	cognate_class	notes
WAGAU	bzh	I	1209	1	keh	1	
MAPOS	bzh	I	1209	1	sa	1	
MANGA	mmo	I	1209	1	sa	1	
PATEP	ptp	I	1209	1	ah	1	
KUMARU	ksl	I	1209	1	aey	1	
ZENAG	zeg	I	1209	1	ah	1	
TOWANGARA	goc	I	1209	1	ha	1	
SAMBIO	tbx	I	1209	1	ai	1	
DAMBI	dac	I	1209	1	aiy	1	
PIU	pix	I	1209	1	a	1	
BUASI	val	I	1209	1	sa	1	
LATEP	zeg	I	1209	1	ay	1	
DUNGUNTUNG	mpl	I	1209	1	ciyi	1	
DANGAL	mcy	I	1209	1	ca	1	
SILISILI	mpl	I	1209	1	ciyi	1	
BUBWAF	mpl	I	1209	1	cio	1	
DAGIN	lbq	I	1209	1	Eja	1	
AZERA	adz	I	1209	1	zi	1	
WAMPAR	lbq	I	1209	1	eca7	1	
SIRAK	srf	I	1209	1	wi	3	
GUWOT	gve	I	1209	1	ahi	1	
DUWET	gve	I	1209	1	ahe7	1	
MUSOM	msu	I	1209	1	wir	3	
SUKURUM	zsu	I	1209	1	si	1	
SIRASIRA	zsa	I	1209	1	si	1	
MARALANGO	mcy	I	1209	1	si7ya	1	
WAMPUR	waz	I	1209	1	ci	1	
MARI	hob	I	1209	1	ci	1	
ONANK	una	I	1209	1	iyo7	1	
YAROS	adz	I	1209	1	ci	1	
AMARI	adz	I	1209	1	ci	1	
LABU	lbu	I	1209	1	7ae	1	
BUKAUA	buk	I	1209	1	au	1	
KELA	kcl	I	1209	1	kia	1	
KAIWA	kbm	I	1209	1	aiyew	1	
SIPOMA	sij	I	1209	1	woya	1	
HOTE	hot	I	1209	1	yah	1	
YAMAP	ymp	I	1209	1	ya	1	
JABEM	jae	I	1209	1	ae	1	
TAMI	tmy	I	1209	1	yau	1	
MALASANGA	mqz	I	1209	1	oo	1	
GITUA	ggt	I	1209	1	yau	1	
LUKEP	apr	I	1209	1	au	1	
MANGAP	mna	I	1209	1	5o	4	
BARIM	bbv	I	1209	1	au	1	
MUTU	tuc	I	1209	1	yau	1	
TUAM	tuc	I	1209	1	yau	1	
SIO	xsi	I	1209	1	kuka	5	
NENGAYA	met	I	1209	1	naba	11	
ROINJI	roe	I	1209	1	na7a	11	
