local_id	local_gloss	global_gloss	global_id
1.212	earth/soil	EARTH (SOIL)	1228
1.213	dust	DUST	2
1.215	sand	SAND	671
1.22	mountain	MOUNTAIN	639
1.31	water	WATER	948
1.32	sea	SEA	1474
1.33	lake	LAKE	624
1.36	river	RIVER	666
1.41	woods, forest	FOREST	420
1.44	stone	STONE	857
1.51	sky	SKY	1732
1.52	sun	SUN	1343
1.53	moon	MOON	1313
1.54	star	STAR	1430
1.72	wind	WIND	960
1.73	cloud	CLOUD	1489
1.74	fog	FOG	249
1.75	rain	RAIN (PRECIPATION)	658
1.76	snow	SNOW	784
1.77	ice	ICE	617
1.775	freeze	FREEZE	1431
1.81	fire	FIRE	221
1.83	smoke	SMOKE (EXHAUST)	778
1.84	ashes	ASH	646
1.851	burn	BURN	2102
2.1	person, human being	PERSON	683
2.21	man/male	MAN	1554
2.22	woman	WOMAN	962
2.27	child	CHILD	2099
2.31	husband	HUSBAND	1200
2.32	wife	WIFE	1199
2.35	father	FATHER	1217
2.36	mother	MOTHER	1216
2.91	I	I	1209
2.92	thou	THOU	1215
2.931	he	HE	1211
2.94	we	WE	1212
2.95	you	YOU	1213
2.96	they	THEY	817
3.11	animal	ANIMAL	619
3.581	bird	BIRD	937
3.61	dog	DOG	2009
3.65	fish	FISH	227
3.84	worm	WORM	1219
3.85	snake	SNAKE	730
3.99924	louse	LOUSE	1392
4.12	skin	SKIN	763
4.14	hair	HAIR	1040
4.15	blood	BLOOD	946
4.16	bone	BONE	1394
4.17	horn	HORN (KERATINIZED SKIN)	1393
4.18	tail	TAIL	1220
4.2	head	HEAD	1256
4.21	eye	EYE	1248
4.22	ear	EAR	1247
4.23	nose	NOSE	1221
4.24	mouth	MOUTH	674
4.26	tongue	TONGUE	1205
4.27	tooth	TOOTH	1380
4.28	neck	NECK	1333
4.33	hand	HAND	1277
4.344	fingernail	FINGERNAIL	1258
4.35	leg	LEG	1297
4.36	knee	KNEE	1371
4.37	foot	FOOT	1301
4.392	wing	WING	1257
4.393	feather	FEATHER	1201
4.4	few	FEW	1242
4.41	breast	BREAST	1402
4.431	belly	BELLY	1251
4.44	heart	HEART	1223
4.45	liver	LIVER	1224
4.461	guts, intestines	INTESTINES	1991
4.51	breathe	BREATHE	1407
4.56	spit	SPIT	1440
4.57	vomit	VOMIT	1278
4.58	bite	BITE	1403
4.61	sleep	SLEEP	1585
4.74	live	BE ALIVE	1422
4.75	die	DIE	1494
4.76	kill	KILL	1417
4.853	swell	SWELL	1573
4.8541	scratch	SCRATCH	1436
5.11	eat	EAT	1336
5.125	rotten	ROTTEN	1728
5.13	drink	DRINK	1401
5.16	suck	SUCK	1421
5.61	meat, flesh	MEAT	634
5.71	fruit	FRUIT	1507
5.791	fat, grease	FAT (SUBSTANCE)	1282
5.81	salt	SALT	1274
5.97	egg	EGG	744
6.35	sew	SEW	1457
8.22	dig	DIG	1418
8.28	stick	STICK	1295
8.311	seed	SEED	714
8.51	grass	GRASS	606
8.54	root	ROOT	670
8.56	leaf	LEAF	628
8.57	flower	FLOWER	239
8.6	tree	TREE	906
8.75	bark	BARK	1204
9.16	tie, fasten	FASTEN	1094
9.19	rope	ROPE	1218
9.21	hit	HIT	1433
9.22	cut	CUT	1432
9.223	stab, pierce	STAB	1434
9.27	split	SPLIT	1437
9.31	rub	RUB	1449
9.311	wipe	WIPE	1454
9.33	pull	PULL	1455
9.343	squeeze	SQUEEZE	1414
9.36	wash	WASH	1453
10.12	turn	TURN	1588
10.23	fall	FALL	1280
10.25	throw	THROW	1456
10.32	flow	FLOW	2003
10.34	float	FLOAT	1574
10.35	swim	SWIM	1439
10.37	fly	FLY (MOVE THROUGH AIR)	1441
10.38	blow	BLOW (OF WIND)	175
10.45	walk	WALK	1443
10.48	come	COME	1446
10.67	push	PUSH	1452
10.72	path	PATH	2252
11.15	hold	HOLD	1448
11.21	give	GIVE	1447
12.012	in	IN	1460
12.013	at	AT	1461
12.13	sit	SIT	1416
12.14	to lie down	LIE (REST)	1411
12.15	stand	STAND	1442
12.41	rightside	RIGHT	1019
12.42	left	LEFT	244
12.43	near	NEAR	1942
12.44	far	FAR	1406
12.55	big	BIG	1202
12.56	small	SMALL	1246
12.57	long	LONG	1203
12.59	short	SHORT	1645
12.61	wide	WIDE	1243
12.62	narrow	NARROW	1267
12.63	thick	THICK	1244
12.65	thin	THIN	1400
12.73	straight	STRAIGHT	1404
12.81	round	ROUND	1395
12.99902	back	BACK	1291
13.01	one	ONE	1493
13.02	two	TWO	1498
13.03	three	THREE	492
13.04	four	FOUR	1500
13.05	five	FIVE	493
13.107	count	COUNT	1420
13.14	all	ALL	98
13.15	many	MANY	1198
13.181	some	SOME	1241
13.21	full	FULL	1429
14.13	new	NEW	1231
14.15	old	OLD	1229
14.41	day	DAY (NOT NIGHT)	1225
14.42	night	NIGHT	1233
14.73	year	YEAR	1226
15.22	smell	SMELL (PERCEIVE)	1586
15.41	hear	HEAR	1408
15.51	see	SEE	1409
15.64	white	WHITE	1335
15.65	black	BLACK	163
15.66	red	RED	156
15.68	green	GREEN	1425
15.69	yellow	YELLOW	1424
15.77	smooth	SMOOTH	1234
15.78	sharp	SHARP	1396
15.79	dull, blunt	BLUNT	379
15.81	heavy	HEAVY	1210
15.83	wet	WET	1726
15.84	dry	DRY	1398
15.851	warm	WARM	1232
15.86	cold	COLD (OF TEMPERATURE)	1287
15.88	dirty	DIRTY	1230
16.25	laugh	LAUGH	1355
16.26	play	PLAY	1413
16.53	fear	FEAR (BE AFRAID)	1419
16.71	good	GOOD	1035
16.72	bad	BAD	1292
16.73	right	RIGHT	1019
17.13	think	THINK	2271
17.17	know	KNOW (SOMETHING)	1410
17.51	and	AND	1577
17.52	because	BECAUSE	1157
17.53	if	IF	1459
17.61	how	HOW	1239
17.64	what	WHAT	1236
17.65	when	WHEN	1238
17.66	where	WHERE	1237
17.68	who	WHO	1235
18.12	sing	SING	1261
18.22	say	SAY	1458
18.28	name	NAME	1405
20.11	fight	FIGHT	1423
20.61	hunt	HUNT	1435
24.04	with	WITH	1340
24.06	not	NOT	1240
24.07	this	THIS	1214
24.08	that	THAT	78
24.09	here	HERE	136
24.1	there	THERE	1937
24.11	other	OTHER	197
