,Language,Meaning,Phonological Form,Cognate Class,cc
10,Ancient Greek,sharp,oksýs,C,sharp:C
11,Greek,sharp,ˌko̞fte̞ˈro̞s,J,sharp:J
13,Classical Armenian,sharp,sowr,D,sharp:D
15,Armenian Eastern,sharp,suɾ,D,sharp:D
29,Ossetic,sharp,tsɨrʁ,A,sharp:A
30,Ossetic Iron,sharp,syrʁ,A,sharp:A
31,Ossetic Digor,sharp,čirʁ,A,sharp:A
41,Bihari,sharp,tejgər,A,sharp:A
47,Urdu,sharp,t̪ez,A,sharp:A
51,Marathi,sharp,'dʰaɾdaɾ,E,sharp:E
52,Marathi,sharp,'ti:kʂɳə,A,sharp:A
55,Old Church Slavonic,sharp,ɔstrʊ̆,C,sharp:C
56,Serbo-Croatian,sharp,ˈɔʃtar,C,sharp:C
57,Bulgarian,sharp,ˈɔstər,C,sharp:C
58,Macedonian,sharp,ˈostar,C,sharp:C
59,Russian,sharp,'ɔstrɨj,C,sharp:C
60,Polish,sharp,ˈɔstrɘ̟,C,sharp:C
61,Belarusian,sharp,ˈvɔstrɨ,C,sharp:C
62,Ukrainian,sharp,ˈɦɔstrɪj,C,sharp:C
63,Slovak,sharp,ˈɔstriː,C,sharp:C
64,Czech,sharp,ˈɔstriː,C,sharp:C
65,Sorbian Upper,sharp,ˈwʊtʀɘ̟,C,sharp:C
66,Sorbian Lower,sharp,ˈwɘ̟tʂɘ̟,C,sharp:C
67,Slovenian,sharp,ˈǒːstər,C,sharp:C
70,Old Norse,sharp,ɣvasː,H,sharp:H
71,Old Norse,sharp,bitr,K,sharp:K
72,Old Norse,sharp,skarpr,B,sharp:B
73,Icelandic,sharp,"xʷasː, kʰvasː",H,sharp:H
74,Icelandic,sharp,ˈskar̥pʰʏr,B,sharp:B
75,Icelandic,sharp,ˈb̥eiʰtːʏr,K,sharp:K
76,Faroese,sharp,ˈb̥iːtʰʊɹ,K,sharp:K
77,Faroese,sharp,ˈskaɹpʰʊɹ,B,sharp:B
78,Faroese,sharp,ˈkʰvasːʊɹ,H,sharp:H
79,Norwegian Riksmal,sharp,ʋasː,H,sharp:H
80,Norwegian Riksmal,sharp,skaɾp,B,sharp:B
81,Stavangersk,sharp,ˈkʋasːə,H,sharp:H
82,Stavangersk,sharp,ˈskaʁpə,B,sharp:B
83,Old Swedish,sharp,ˈhvasː,H,sharp:H
84,Old Swedish,sharp,ˈbiːter,K,sharp:K
85,Old Swedish,sharp,ˈskarper,B,sharp:B
86,Swedish,sharp,vasː,H,sharp:H
87,Swedish,sharp,skarp,B,sharp:B
90,Elfdalian,sharp,wɑsː,H,sharp:H
91,Danish,sharp,sg̥ʰɑ:b̥,B,sharp:B
92,Danish Fjolde,sharp,ˈsxɑɹəb,B,sharp:B
93,Gutnish Lau,sharp,ˈskarpar,B,sharp:B
94,Gutnish Lau,sharp,ˈvasːar,H,sharp:H
97,English,sharp,ʃɑ:p,B,sharp:B
98,Frisian,sharp,skɛrp,B,sharp:B
99,Dutch,sharp,sχɛrp,B,sharp:B
105,German,sharp,ʃarf,B,sharp:B
110,Latin,sharp,ˈaːker,C,sharp:C
111,Latin,sharp,aˈkuːtus,C,sharp:C
115,Portuguese,sharp,ɐfiˈadu,C,sharp:C
116,Portuguese,sharp,ɐɡuˈsadu,C,sharp:C
117,Spanish,sharp,afi'laðo,C,sharp:C
118,Spanish,sharp,a'ɣuðo,C,sharp:C
124,French,sharp,tʀɑ̃ʃɑ̃,I,sharp:I
131,Italian,sharp,taʎ'ʎɛnte,G,sharp:G
134,Old Irish,sharp,gʹe:r,L,sharp:L
135,Old Irish,sharp,ɸaiβər,O,sharp:O
137,Middle Cornish,sharp,lɪm:,F,sharp:F
138,Middle Breton,sharp,ˈlemː,F,sharp:F
142,Irish,sharp,ɟeːɾˠ,L,sharp:L
11,Ancient Greek,come,érkʰomai̯,G,come:G
13,Greek,come,ˈe̞rxo̞ˌme̞,G,come:G
15,Classical Armenian,come,ɡɑ-m,D,come:D
16,Armenian Eastern,come,gɑl,D,come:D
33,Ossetic,come,tsæwɨn,P,come:P
34,Ossetic Iron,come,ɐrbasɐw-,K,come:K
35,Ossetic Digor,come,ɐrbacɐw-,K,come:K
49,Oriya,come,as-,N,come:N
51,Bihari,come,aeəb,H,come:H
