ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	CLPA_IDS	CONCEPTICON_ID	GLOTTOLOG
1	Miyako	I	ban	b a n	1	c254 v130 c105	1209	miya1259
2	Tōkyō	I	watasi	w a t a s i	2	c457 v130 c118 v130 c087 v191	1209	toky1238
3	Amami	I	waɴ	w a ɴ	1	c457 v130 c745	1209	naze1238
4	Kyōto	I	wate	w a t e	2	c457 v130 c118 v200	1209	kyot1238
5	Hachijō	I	ware	w a r e	1	c457 v130 c151 v200	1209	hach1238
6	Shuri	I	waɴ	w a ɴ	1	c457 v130 c745	1209	shur1243
7	Kōchi	I	asi	a s i	2	v130 c087 v191	1209	shik1243
8	Sado	I	ore	o r e	3	v042 c151 v200	1209	sado1237
9	Oki	I	ora	o r a	3	v042 c151 v130	1209	
10	Kagoshima	I	oiː	o iː	3	v042 v183	1209	kyus1238
1957	Miyako	alive (live)	nːuʦɨduaɭ	nː u ts ɨ d ua ɭ	454	c104 v027 c015 v116 c143 d010 c702	1422	miya1259
1958	Tōkyō	alive (live)	ikiteru	i k i t e r u	455	v191 c831 v191 c118 v200 c151 v027	1422	toky1238
1959	Amami	alive (live)	ʔikiʨuri	ʔ i k i tɕ u r i	455	c405 v191 c831 v191 c198 v027 c151 v191	1422	naze1238
1960	Kyōto	alive (live)	ikiteru	i k i t e r u	455	v191 c831 v191 c118 v200 c151 v027	1422	kyot1238
1961	Hachijō	alive (live)	ikite	i k i t e	455	v191 c831 v191 c118 v200	1422	hach1238
1962	Shuri	alive (live)	ʔiʨiʦoːɴ	ʔ i tɕ i ts oː ɴ	455	c405 v191 c198 v191 c015 v035 c745	1422	shur1243
1963	Kōchi	alive (live)	ikitʲuː	i k i tʲ uː	455	v191 c831 v191 c113 v019	1422	shik1243
1964	Sado	alive (live)	ikitoru	i k i t o r u	455	v191 c831 v191 c118 v042 c151 v027	1422	sado1237
1965	Oki	alive (live)	ekeʨoru	e k e tɕ o r u	455	v200 c831 v200 c198 v042 c151 v027	1422	
1966	Kagoshima	alive (live)	ikiːʨːo	i k iː tːɕ o	455	v191 c831 v183 c200 v042	1422	kyus1238
81	Miyako	all	mːna	mː n a	24	c242 c105 v130	98	miya1259
82	Tōkyō	all	miɴna	m i ɴ n a	24	c239 v191 c745 c105 v130	98	toky1238
83	Amami	all	ʔaɴxaːri	ʔ a ɴ x aː r i	26	c405 v130 c745 c772 v137 c151 v191	98	naze1238
84	Kyōto	all	miɴna	m i ɴ n a	24	c239 v191 c745 c105 v130	98	kyot1238
85	Hachijō	all	miɴna	m i ɴ n a	24	c239 v191 c745 c105 v130	98	hach1238
86	Shuri	all	ɴna	ɴ n a	24	c745 c105 v130	98	shur1243
87	Kōchi	all	miɴna	m i ɴ n a	24	c239 v191 c745 c105 v130	98	shik1243
88	Sado	all	miɴna	m i ɴ n a	24	c239 v191 c745 c105 v130	98	sado1237
89	Oki	all	ɴːna	ɴ̩ n a	24	c746 c105 v130	98	
90	Kagoshima	all	sukːai	s u kː ai	25	c087 v027 c825 d030	98	kyus1238
1268	Miyako	arm	udi	u d i	289	v027 c143 v191	1673	miya1259
1269	Tōkyō	arm	ude	u d e	289	v027 c143 v200	1673	toky1238
1270	Amami	arm	xeːnʲa	x eː nʲ a	291	c772 v202 c099 v130	1673	naze1238
1271	Kyōto	arm	teː	t eː	290	c118 v202	1673	kyot1238
1272	Hachijō	arm	ude	u d e	289	v027 c143 v200	1673	hach1238
1273	Shuri	arm	tiː	t iː	290	c118 v183	1673	shur1243
1274	Kōchi	arm	ude	u d e	289	v027 c143 v200	1673	shik1243
1275	Sado	arm	ude	u d e	289	v027 c143 v200	1673	sado1237
1276	Oki	arm	ode	o d e	289	v042 c143 v200	1673	
1277	Kagoshima	arm	te	t e	290	c118 v200	1673	kyus1238
820	Miyako	ash	pazɨ	p a z ɨ	185	c288 v130 c078 v116	646	miya1259
821	Tōkyō	ash	hai	h ai	185	c401 d030	646	toky1238
822	Amami	ash	hwe	h w e	185	c401 c457 v200	646	naze1238
823	Kyōto	ash	hai	h ai	185	c401 d030	646	kyot1238
824	Hachijō	ash	hia	h ia	185	c401 d054	646	hach1238
825	Shuri	ash	hweː	h w eː	185	c401 c457 v202	646	shur1243
826	Kōchi	ash	hai	h ai	185	c401 d030	646	shik1243
827	Sado	ash	hai	h ai	185	c401 d030	646	sado1237
828	Oki	ash	ɸeː	ɸ eː	185	c224 v202	646	
829	Kagoshima	ash	hei	h ei	185	c401 d047	646	kyus1238
1397	Miyako	at	n	n	312	c105	1461	miya1259
1398	Tōkyō	at	de	d e	313	c143 v200	1461	toky1238
1399	Amami	at	naɴθɨ	n a ɴ θ ɨ	313	c105 v130 c745 c413 v116	1461	naze1238
1400	Kyōto	at	de	d e	313	c143 v200	1461	kyot1238
1401	Hachijō	at	de	d e	313	c143 v200	1461	hach1238
1402	Shuri	at	uti	u t i	313	v027 c118 v191	1461	shur1243
1403	Kōchi	at	de	d e	313	c143 v200	1461	shik1243
1404	Sado	at	de	d e	313	c143 v200	1461	sado1237
1405	Oki	at	de	d e	313	c143 v200	1461	
1406	Kagoshima	at	de	d e	313	c143 v200	1461	kyus1238
1249	Tōkyō	back	senaka	s e n a k a	283	c087 v200 c105 v130 c831 v130	1291	toky1238
1250	Amami	back	xusi	x u s i	284	c772 v027 c087 v191	1291	naze1238
1251	Kyōto	back	senaka	s e n a k a	283	c087 v200 c105 v130 c831 v130	1291	kyot1238
1252	Hachijō	back	hedaka	h e d a k a	282	c401 v200 c143 v130 c831 v130	1291	hach1238
1253	Shuri	back	nagani	n a g a n i	285	c105 v130 c824 v130 c105 v191	1291	shur1243
1254	Kōchi	back	senaka	s e n a k a	283	c087 v200 c105 v130 c831 v130	1291	shik1243
1255	Sado	back	senaka	s e n a k a	283	c087 v200 c105 v130 c831 v130	1291	sado1237
1256	Oki	back	sena	s e n a	283	c087 v200 c105 v130	1291	
1257	Kagoshima	back	senaka	s e n a k a	283	c087 v200 c105 v130 c831 v130	1291	kyus1238
1641	Miyako	bad	fusaritam	f u s a r i t a m	379	c447 v027 c087 v130 c151 v191 c118 v130 c239	1292	miya1259
1642	Tōkyō	bad	kusatːa	k u s a tː a	379	c831 v027 c087 v130 c128 v130	1292	toky1238
1643	Amami	bad	kusareθa	k u s a r e θ a	379	c831 v027 c087 v130 c151 v200 c413 v130	1292	naze1238
1644	Kyōto	bad	kusatːa	k u s a tː a	379	c831 v027 c087 v130 c128 v130	1292	kyot1238
1645	Hachijō	bad	kusarua	k u s a r ua	379	c831 v027 c087 v130 c151 d010	1292	hach1238
1646	Shuri	bad	kuʦːoːru	k u tːs oː r u	379	c831 v027 c025 v035 c151 v027	1292	shur1243
1647	Kōchi	bad	kusatːa	k u s a tː a	379	c831 v027 c087 v130 c128 v130	1292	shik1243
1648	Sado	bad	kusatːa	k u s a tː a	379	c831 v027 c087 v130 c128 v130	1292	sado1237
1649	Oki	bad	kusatːa	k u s a tː a	379	c831 v027 c087 v130 c128 v130	1292	
1650	Kagoshima	bad	kesːareta	k e sː a r e t a	379	c831 v200 c070 v130 c151 v200 c118 v130	1292	kyus1238
231	Miyako	bark (of tree)	kaː	k aː	65	c831 v137	1204	miya1259
232	Tōkyō	bark (of tree)	kawa	k a w a	65	c831 v130 c457 v130	1204	toky1238
233	Amami	bark (of tree)	xɨɴxo	x ɨ ɴ x o	66	c772 v116 c745 c772 v042	1204	naze1238
234	Kyōto	bark (of tree)	kawa	k a w a	65	c831 v130 c457 v130	1204	kyot1238
235	Hachijō	bark (of tree)	kua	k ua	65	c831 d010	1204	hach1238
236	Shuri	bark (of tree)	kaː	k aː	65	c831 v137	1204	shur1243
237	Kōchi	bark (of tree)	kawa	k a w a	65	c831 v130 c457 v130	1204	shik1243
238	Sado	bark (of tree)	kawa	k a w a	65	c831 v130 c457 v130	1204	sado1237
239	Oki	bark (of tree)	kawa	k a w a	65	c831 v130 c457 v130	1204	
240	Kagoshima	bark (of tree)	kawa	k a w a	65	c831 v130 c457 v130	1204	kyus1238
482	Miyako	belly	bata	b a t a	113	c254 v130 c118 v130	1251	miya1259
483	Tōkyō	belly	onaka	o n a k a	112	v042 c105 v130 c831 v130	1251	toky1238
484	Amami	belly	waθa	w a θ a	113	c457 v130 c413 v130	1251	naze1238
485	Kyōto	belly	hara	h a r a	111	c401 v130 c151 v130	1251	kyot1238
486	Hachijō	belly	hara	h a r a	111	c401 v130 c151 v130	1251	hach1238
487	Shuri	belly	wata	w a t a	113	c457 v130 c118 v130	1251	shur1243
488	Kōchi	belly	hara	h a r a	111	c401 v130 c151 v130	1251	shik1243
489	Sado	belly	hara	h a r a	111	c401 v130 c151 v130	1251	sado1237
490	Oki	belly	ɸara	ɸ a r a	111	c224 v130 c151 v130	1251	
491	Kagoshima	belly	hara	h a r a	111	c401 v130 c151 v130	1251	kyus1238
121	Miyako	big	uku	u k u	38	v027 c831 v027	1202	miya1259
122	Tōkyō	big	oːkiː	oː k iː	38	v035 c831 v183	1202	toky1238
123	Amami	big	hwɨsːari	h w ɨ sː a r i	40	c401 c457 v116 c070 v130 c151 v191	1202	naze1238
124	Kyōto	big	oːkiː	oː k iː	38	v035 c831 v183	1202	kyot1238
125	Hachijō	big	boːkʲa	b oː kʲ a	37	c254 v035 c830 v130	1202	hach1238
126	Shuri	big	magisaɴ	m a g i s a ɴ	41	c239 v130 c824 v191 c087 v130 c745	1202	shur1243
127	Kōchi	big	hutoi	h u t oi	39	c401 v027 c118 d015	1202	shik1243
128	Sado	big	oːkiː	oː k iː	38	v035 c831 v183	1202	sado1237
129	Oki	big	ɸuteː	ɸ u t eː	39	c224 v027 c118 v202	1202	
130	Kagoshima	big	hute	h u t e	39	c401 v027 c118 v200	1202	kyus1238
191	Miyako	bird	tui	t ui	60	c118 d016	937	miya1259
192	Tōkyō	bird	tori	t o r i	60	c118 v042 c151 v191	937	toky1238
193	Amami	bird	θuri	θ u r i	60	c413 v027 c151 v191	937	naze1238
194	Kyōto	bird	tori	t o r i	60	c118 v042 c151 v191	937	kyot1238
195	Hachijō	bird	torime	t o r i m e	60	c118 v042 c151 v191 c239 v200	937	hach1238
196	Shuri	bird	tui	t ui	60	c118 d016	937	shur1243
197	Kōchi	bird	tori	t o r i	60	c118 v042 c151 v191	937	shik1243
198	Sado	bird	tori	t o r i	60	c118 v042 c151 v191	937	sado1237
199	Oki	bird	tori	t o r i	60	c118 v042 c151 v191	937	
200	Kagoshima	bird	toiː	t o iː	60	c118 v042 v183	937	kyus1238
550	Miyako	bite	fuː	f uː	127	c447 v019	1403	miya1259
551	Tōkyō	bite	kamiʦuku	k a m i ts u k u	128	c831 v130 c239 v191 c015 v027 c831 v027	1403	toky1238
552	Amami	bite	kuiʦɨkɨruri	k ui ts ɨ k ɨ r u r i	126	c831 d016 c015 v116 c831 v116 c151 v027 c151 v191	1403	naze1238
553	Kyōto	bite	kamiʦuku	k a m i ts u k u	128	c831 v130 c239 v191 c015 v027 c831 v027	1403	kyot1238
554	Hachijō	bite	kuiʦuku	k ui ts u k u	126	c831 d016 c015 v027 c831 v027	1403	hach1238
555	Shuri	bite	kuːjuɴ	k uː j u ɴ	126	c831 v019 c564 v027 c745	1403	shur1243
556	Kōchi	bite	kuituku	k ui t u k u	126	c831 d016 c118 v027 c831 v027	1403	shik1243
557	Sado	bite	kamiʦuku	k a m i ts u k u	128	c831 v130 c239 v191 c015 v027 c831 v027	1403	sado1237
558	Oki	bite	kamu	k a m u	128	c831 v130 c239 v027	1403	
559	Kagoshima	bite	kaɴʦu	k a ɴ ts u	128	c831 v130 c745 c015 v027	1403	kyus1238
900	Miyako	black	fu	f u	195	c447 v027	163	miya1259
901	Tōkyō	black	kuroi	k u r oi	195	c831 v027 c151 d015	163	toky1238
902	Amami	black	kurusari	k u r u s a r i	195	c831 v027 c151 v027 c087 v130 c151 v191	163	naze1238
903	Kyōto	black	kuroi	k u r oi	195	c831 v027 c151 d015	163	kyot1238
904	Hachijō	black	kurokʲa	k u r o kʲ a	195	c831 v027 c151 v042 c830 v130	163	hach1238
905	Shuri	black	kurusaɴ	k u r u s a ɴ	195	c831 v027 c151 v027 c087 v130 c745	163	shur1243
