language	iso_code	gloss	global_id	local_id	transcription	cognate_class	notes
ASSAMESE	asm	earth/soil	1228	1.212	mati	ielex-1.212-E	source form: mati; loanword
BRETON	bre	earth/soil	1228	1.212	ˈduːaʁ	ielex-1.212-G	source form: douar
BULGARIAN	bul	earth/soil	1228	1.212	zɛˈmja	ielex-1.212-C	source form: zemya
CATALAN	cat	earth/soil	1228	1.212	ˈtɛrə	ielex-1.212-F	source form: terra
CROATIAN	hrv	earth/soil	1228	1.212	zěmʎa	ielex-1.212-C	source form: zemlja
CZECH	ces	earth/soil	1228	1.212	zɛmɲɛ	ielex-1.212-C	source form: země
DANISH	dan	earth/soil	1228	1.212	mulˀ	ielex-1.212-H	source form: muld
DANISH	dan	earth/soil	1228	1.212	joˀɐ̯	ielex-1.212-B	source form: jord
DIGOR_OSSETIAN	oss	earth/soil	1228	1.212	zɐnχɐ	ielex-1.212-T	source form: zɐnχɐ
DUTCH	nld	earth/soil	1228	1.212	ardə	ielex-1.212-B	source form: aarde
EASTERN_FARSI	prs	earth/soil	1228	1.212	zamin	ielex-1.212-C	source form: زمین
EASTERN_FRISIAN	frs	earth/soil	1228	1.212	i.ədə	ielex-1.212-B	source form: ierde
ENGLISH	eng	earth/soil	1228	1.212	ɜ:θ	ielex-1.212-B	source form: earth
FAROESE	fao	earth/soil	1228	1.212	jøːɹ	ielex-1.212-B	source form: jørð
FAROESE	fao	earth/soil	1228	1.212	mɔld̥	ielex-1.212-H	source form: mold
FRENCH	fra	earth/soil	1228	1.212	tɛʀ	ielex-1.212-F	source form: terre
GREEK	ell	earth/soil	1228	1.212	ʝi	ielex-1.212-M	source form: yi
GREEK_ANCIENT	grc	earth/soil	1228	1.212	khthōn	ielex-1.212-C	source form: χθών; loanword
GREEK_ANCIENT	grc	earth/soil	1228	1.212	ɡɛː	ielex-1.212-M	source form: γῆ
ICELANDIC	isl	earth/soil	1228	1.212	mɔld	ielex-1.212-H	source form: mold
ICELANDIC	isl	earth/soil	1228	1.212	jœrð	ielex-1.212-B	source form: jörð
IRON_OSSETIAN	oss	earth/soil	1228	1.212	žɐχχ	ielex-1.212-T	source form: žɐχχ
ITALIAN	ita	earth/soil	1228	1.212	tɛrra	ielex-1.212-F	source form: terra
LATIN	lat	earth/soil	1228	1.212	ˈter.ra	ielex-1.212-F	source form: terra
LITHUANIAN	lit	earth/soil	1228	1.212	ʒʲæ:mʲe:	ielex-1.212-C	source form: žemė
MAITHILI	mai	earth/soil	1228	1.212	sənsar	ielex-1.212-R	source form: sənsar; loanword
MAITHILI	mai	earth/soil	1228	1.212	prithbi	ielex-1.212-S	source form: prithbi; loanword
MARATHI	mar	earth/soil	1228	1.212	dzəmin	ielex-1.212-C	source form: dzamīn; loanword
MARATHI	mar	earth/soil	1228	1.212	pɽtʰwi:	ielex-1.212-S	source form: prthwī
NORWEGIAN_BOKMAAL	nor	earth/soil	1228	1.212	juːɾ	ielex-1.212-B	source form: jord
NORWEGIAN_RIKSMAL	nor	earth/soil	1228	1.212	juːɾ	ielex-1.212-B	source form: jord
OLD_CHURCH_SLAVONIC	chu	earth/soil	1228	1.212	zemlja	ielex-1.212-C	source form: zemlja
OLD_NORSE	non	earth/soil	1228	1.212	jɔrð	ielex-1.212-B	source form: jo̜rð
OLD_NORSE	non	earth/soil	1228	1.212	mold	ielex-1.212-H	source form: mold
PERSIAN	fas	earth/soil	1228	1.212	zamin	ielex-1.212-C	source form: زمین
POLISH	pol	earth/soil	1228	1.212	ˈʑɛmʲa	ielex-1.212-C	source form: ziemia
PORTUGUESE	por	earth/soil	1228	1.212	ˈtɛʀɐ	ielex-1.212-F	source form: terra
RUSSIAN	rus	earth/soil	1228	1.212	zʲemlʲa	ielex-1.212-C	source form: земля
SERBOCROATIAN	srp	earth/soil	1228	1.212	zěmʎa	ielex-1.212-C	source form: zemlja
SPANISH	spa	earth/soil	1228	1.212	tjera	ielex-1.212-F	source form: tierra
STANDARD_GERMAN	deu	earth/soil	1228	1.212	e:ɐ̯də	ielex-1.212-B	source form: Erde
SWEDISH	swe	earth/soil	1228	1.212	mɵlː	ielex-1.212-H	source form: mull
SWEDISH	swe	earth/soil	1228	1.212	juːɖ	ielex-1.212-B	source form: jord
URDU	urd	earth/soil	1228	1.212	zəmin	ielex-1.212-C	source form: زمِین; loanword
ASSAMESE	asm	dust	2	1.213	dhuli	ielex-1.213-Q	source form: dhuli
BRETON	bre	dust	2	1.213	pultrɛn	ielex-1.213-F	source form: poultrenn; loanword
BULGARIAN	bul	dust	2	1.213	prax	ielex-1.213-H	source form: prax
CATALAN	cat	dust	2	1.213	pols	ielex-1.213-F	source form: pols
CROATIAN	hrv	dust	2	1.213	prǎʃina	ielex-1.213-H	source form: prašina
CZECH	ces	dust	2	1.213	prax	ielex-1.213-H	source form: prach
DANISH	dan	dust	2	1.213	sd̥ʰø̞ˀw	ielex-1.213-B	source form: støv
DIGOR_OSSETIAN	oss	dust	2	1.213	rugɐ	ielex-1.213-G	source form: rugɐ
DUTCH	nld	dust	2	1.213	stɔf	ielex-1.213-B	source form: stof
EASTERN_ARMENIAN	hye	dust	2	1.213	pʰoˈʃi	ielex-1.213-D	source form: p’oši
EASTERN_FRISIAN	frs	dust	2	1.213	stɔf	ielex-1.213-B	source form: stof
ENGLISH	eng	dust	2	1.213	dʌst	ielex-1.213-Q	source form: dust
FAROESE	fao	dust	2	1.213	støːv	ielex-1.213-B	source form: støv; loanword
FAROESE	fao	dust	2	1.213	d̥ʊst	ielex-1.213-Q	source form: dust
FRENCH	fra	dust	2	1.213	pusjɛʀ	ielex-1.213-F	source form: poussière
GREEK	ell	dust	2	1.213	ˈsko̞ni	ielex-1.213-J	source form: skoni
GREEK_ANCIENT	grc	dust	2	1.213	kónis	ielex-1.213-J	source form: κόνις
ICELANDIC	isl	dust	2	1.213	d̥ʏst	ielex-1.213-Q	source form: dust
ICELANDIC	isl	dust	2	1.213	rɪːk	ielex-1.213-I	source form: ryk
IRON_OSSETIAN	oss	dust	2	1.213	ryg	ielex-1.213-G	source form: ryg
ITALIAN	ita	dust	2	1.213	polvere	ielex-1.213-F	source form: polvere
MARATHI	mar	dust	2	1.213	dʱuɭ	ielex-1.213-C	source form: dhūl
