ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	CLPA_IDS	CONCEPTICON_ID	GLOTTOLOG
4275	Merina_Malagasy	Eight	valo	v a l o	105	c446 v130 c548 v042	1705	plat1254
4276	Thao	Eight	kaspat	k a s p a t	821	c831 v130 c087 c288 v130 c118	1705	thao1240
4277	Palauan	Eight	kleiai	k l e i a i	1394	c831 c548 v200 v191 v130 v191	1705	pala1344
4278	Tunjung	Eight	kaluŋk	k a l u ŋ k	1479	c831 v130 c548 v027 c795 c831	1705	tunj1244
4279	Bare'e	Eight	uaju	u a j u	1551	v027 v130 c564 v027	1705	pamo1252
4280	Iban	Eight	lapan	l a p a n	68	c548 v130 c288 v130 c105	1705	iban1264
4281	Berawan_Long_Terawan	Eight	mareh	m a r e h	1697	c239 v130 c151 v200 c401	1705	west2564
4282	Moken	Eight	waloj	w a l o j	105	c457 v130 c548 v042 c564	1705	moke1242
4283	Hanunoo	Eight	walu	w a l u	105	c457 v130 c548 v027	1705	hanu1241
4284	Tetum	Eight	ualu	u a l u	1928	v027 v130 c548 v027	1705	tetu1246
4285	Tsou	Eight	voeu	v o e u	105	c446 v042 v200 v027	1705	tsou1248
4286	Tsou	Eight	woru	w o r u	105	c457 v042 c151 v027	1705	tsou1248
4287	Tsou	Eight	mevarou	m e v a r o u	105	c239 v200 c446 v130 c151 v042 v027	1705	tsou1248
4288	Central Amis	Eight	falu	f a l u	105	c447 v130 c548 v027	1705	amis1246
4289	Central Amis	Eight	falo	f a l o	105	c447 v130 c548 v042	1705	amis1246
4290	Chamorro	Eight	gualo	g u a l o	2592	c824 v027 v130 c548 v042	1705	cham1312
4291	Chamorro	Eight	gualguijai	g u a l g u i j a i	2593	c824 v027 v130 c548 c824 v027 v191 c564 v130 v191	1705	cham1312
4335	Palauan	Fifty	okejim	o k e j i m	1398	v042 c831 v200 c564 v191 c239	1717	pala1344
4336	Bare'e	Fifty	alima#mpuju	a l i m a _ m p u j u	1555	v130 c548 v191 c239 v130 m001 c239 c288 v027 c564 v027	1717	pamo1252
4337	Iban	Fifty	limaʔ#puluh	l i m a ʔ _ p u l u h	1630	c548 v191 c239 v130 c405 m001 c288 v027 c548 v027 c401	1717	iban1264
4338	Berawan_Long_Terawan	Fifty	dimah#pulo	d i m a h _ p u l o	1700	c143 v191 c239 v130 c401 m001 c288 v027 c548 v042	1717	west2564
