ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	SOURCE_FORM	CLPA_IDS	CONCEPTICON_ID	GLOTTOLOG
1693	Urdu	I	mɛ̃	m ɛ̃	62	mɛ̃	c239 v231	1209	urdu1245
1694	Armenian_Mod	I	jɛs	j ɛ s	62	jɛs	c564 v229 c087	1209	nucl1235
1695	Czech	I	jaː	j aː	62	jaː	c564 v137	1209	czec1258
1696	German	I	ɪç	ɪ ç	62	ɪç	v219 c577	1209	stan1295
1697	Italian	I	io	i o	62	'io	v191 v042	1209	ital1282
1698	Swedish	I	jɑːɡ	j ɑː g	62	ˈjɑːɡ, ˈjɑː	c564 v091 c824	1209	swed1254
1699	Breton_ST	I	meː	m eː	62	me:	c239 v202	1209	bret1244
1700	Catalan	I	ʒɔ	ʒ ɔ	62	ʒɔ, jɔ	c679 v067	1209	stan1289
1701	Danish	I	jɑj	j ɑ j	62	jɑj	c564 v089 c564	1209	dani1285
1702	Dutch_List	I	ɪk	ɪ k	62	ɪk	v219 c831	1209	dutc1256
1703	English	I	aɪ	aɪ	62	aɪ	d032	1209	stan1293
1704	French	I	ʒə	ʒ ə	62	ʒə	c679 v155	1209	stan1290
1705	Greek_Mod	I	e̞ɣo̞	e̞ ɣ o̞	62	e̞ˈɣo̞	v217 c774 v033	1209	mode1248
1706	Marathi	I	miː	m iː	62	mi:	c239 v183	1209	mara1378
1707	Polish	I	ja	j a	62	ja	c564 v130	1209	poli1260
1708	Portuguese_ST	I	eu	eu	62	eu	d052	1209	port1283
1709	Russian	I	ja	j a	62	ja	c564 v130	1209	russ1263
1710	Spanish	I	ʝo	ʝ o	62	ʝo	c574 v042	1209	stan1288
1711	Bihari	I	həm	h ə m	62	həm	c401 v155 c239	1209	mait1250
1712	Bihari	I	mẽ	m ẽ	62	mẽ	c239 v201	1209	mait1250
1713	Oriya	I	mũ	m ũ	62	mũ	c239 v025	1209	oriy1255
1	English	all	ɔːl	ɔː l	175	ɔ:l	v065 c548	98	stan1293
2	German	all	alə	a l ə	175	'alə	v130 c548 v155	98	stan1295
3	Armenian_Mod	all	boloɾ	b o l o ɾ	566	boˈloɾ	c254 v042 c548 v042 c064	98	nucl1235
4	Greek_Mod	all	o̞lo̞s	o̞ l o̞ s	965	ˈo̞lo̞s	v033 c548 v033 c087	98	mode1248
5	Italian	all	tutto	t u tː o	543	'tutto	c118 v027 c128 v042	98	ital1282
6	Marathi	all	səɾwə	s ə ɾ w ə	748	'səɾwə, 'səgɭə	c087 v155 c064 c457 v155	98	mara1378
7	Danish	all	ɛl	ɛ l	175	ɛl	v229 c548	98	dani1285
8	Portuguese_ST	all	toðu	t o ð u	543	ˈtoðu	c118 v042 c415 v027	98	port1283
9	French	all	tu	t u	543	tu	c118 v027	98	stan1290
10	Russian	all	vsʲo	v sʲ o	1102	vsʲo	c446 c088 v042	98	russ1263
11	Spanish	all	toðo	t o ð o	543	'toðo	c118 v042 c415 v042	98	stan1288
12	Swedish	all	ala	a l a	175	ˈala	v130 c548 v130	98	swed1254
13	Bihari	all	səb	s ə b	748	səb	c087 v155 c254	98	mait1250
14	Oriya	all	sɔbɔ	s ɔ b ɔ	748	sɔbɔ	c087 v067 c254 v067	98	oriy1255
