ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	CLPA_IDS	CONCEPTICON_ID	GLOTTOLOG
773	North Mansi	I	am	a m	82	v130 c239	1209	mans1258
774	Middle Lozva Mansi	I	æm	æ m	82	v198 c239	1209	mans1258
775	Lower Lozva Mansi	I	am	a m	82	v130 c239	1209	
776	Pelymka Mansi	I	ɔm	ɔ m	82	v067 c239	1209	mans1258
777	Konda Mansi	I	ɔm	ɔ m	82	v067 c239	1209	khan1273
778	Tavda Mansi	I	æm	æ m	82	v198 c239	1209	mans1258
779	Vakh Khanty	I	mæː	m æː	82	c239 v199	1209	khan1273
780	Vasjugan Khanty	I	mæː	m æː	82	c239 v199	1209	khan1273
781	Tremjugan Khanty	I	mæː	m æː	82	c239 v199	1209	mans1258
782	Jugan Khanty	I	mæː	m æː	82	c239 v199	1209	khan1273
783	Upper Demjanka Khanty	I	mæːn	m æː n	82	c239 v199 c105	1209	khan1273
784	Konda Khanty	I	mæn	m æ n	82	c239 v198 c105	1209	khan1273
785	Nizjam Khanty	I	maː	m aː	82	c239 v137	1209	khan1273
786	Sherkaly Khanty	I	maː	m aː	82	c239 v137	1209	khan1273
787	Kazym Khanty	I	maː	m aː	82	c239 v137	1209	khan1273
788	Synja Khanty	I	maː	m aː	82	c239 v137	1209	khan1273
789	Obdorsk Khanty	I	mæː	m æː	82	c239 v199	1209	khan1273
1	North Mansi	all	pusən	p u s ə n	1	c288 v027 c087 v155 c105	98	mans1258
2	Middle Lozva Mansi	all	puʃn	p u ʃ n	1	c288 v027 c677 c105	98	mans1258
3	Lower Lozva Mansi	all	ʃaq	ʃ a q	2	c677 v130 c751	98	
4	Pelymka Mansi	all	ʃoq	ʃ o q	2	c677 v042 c751	98	mans1258
5	Konda Mansi	all	soq	s o q	2	c087 v042 c751	98	khan1273
6	Tavda Mansi	all	ʃɔχ	ʃ ɔ χ	2	c677 v067 c742	98	mans1258
7	Vakh Khanty	all	ejnæːm	e j n æː m	3	v200 c564 c105 v199 c239	98	khan1273
8	Verkhne-Kalymsk Khanty	all	ejnæːm	e j n æː m	3	v200 c564 c105 v199 c239	98	khan1273
9	Vartovskoje Khanty	all	ejnæːm	e j n æː m	3	v200 c564 c105 v199 c239	98	khan1273
10	Likrisovskoje Khanty	all	ejnæːm	e j n æː m	3	v200 c564 c105 v199 c239	98	khan1273
11	Malyj Jugan Khanty	all	ejnæːm	e j n æː m	3	v200 c564 c105 v199 c239	98	khan1273
12	Tremjugan Khanty	all	ejnæːm	e j n æː m	3	v200 c564 c105 v199 c239	98	mans1258
13	Jugan Khanty	all	ejnæːm	e j n æː m	3	v200 c564 c105 v199 c239	98	khan1273
14	Upper Demjanka Khanty	all	χarnaː	χ a r n aː	4	c742 v130 c151 c105 v137	98	khan1273
15	Konda Khanty	all	pertæː	p e r t æː	5	c288 v200 c151 c118 v199	98	khan1273
16	Nizjam Khanty	all	isaχaːt	i s a χ aː t	6	v191 c087 v130 c742 v137 c118	98	khan1273
17	Sherkaly Khanty	all	isaːt	i s aː t	6	v191 c087 v137 c118	98	khan1273
18	Kazym Khanty	all	isaː	i s aː	6	v191 c087 v137	98	khan1273
19	Synja Khanty	all	isaː	i s aː	6	v191 c087 v137	98	khan1273
20	North Mansi	ashes	χuʎəm	χ u ʎ ə m	8	c742 v027 c582 v155 c239	646	mans1258
21	Middle Lozva Mansi	ashes	quʎəm	q u ʎ ə m	8	c751 v027 c582 v155 c239	646	mans1258
22	Lower Lozva Mansi	ashes	quʎəm	q u ʎ ə m	8	c751 v027 c582 v155 c239	646	
23	Konda Mansi	ashes	quʎəm	q u ʎ ə m	8	c751 v027 c582 v155 c239	646	khan1273
24	Tavda Mansi	ashes	qoːʎəm	q oː ʎ ə m	8	c751 v035 c582 v155 c239	646	mans1258
25	Vakh Khanty	ashes	pæːr	p æː r	9	c288 v199 c151	646	khan1273
26	Vasjugan Khanty	ashes	pæːr	p æː r	9	c288 v199 c151	646	khan1273
27	Tremjugan Khanty	ashes	næːjpæːr	n æː j p æː r	9	c105 v199 c564 c288 v199 c151	646	mans1258
28	Jugan Khanty	ashes	næːjpæːr	n æː j p æː r	9	c105 v199 c564 c288 v199 c151	646	khan1273
29	Upper Demjanka Khanty	ashes	χoːjəm	χ oː j ə m	8	c742 v035 c564 v155 c239	646	khan1273
30	Konda Khanty	ashes	χoːjəm	χ oː j ə m	8	c742 v035 c564 v155 c239	646	khan1273
31	Nizjam Khanty	ashes	χɔːjəm	χ ɔː j ə m	8	c742 v065 c564 v155 c239	646	khan1273
32	Sherkaly Khanty	ashes	χɔːjəm	χ ɔː j ə m	8	c742 v065 c564 v155 c239	646	khan1273
33	Kazym Khanty	ashes	raːtχiʃ	r aː t χ i ʃ	7	c151 v137 c118 c742 v191 c677	646	khan1273
34	Obdorsk Khanty	ashes	ræːtχis	r æː t χ i s	7	c151 v199 c118 c742 v191 c087	646	khan1273
35	North Mansi	bark	sul	s u l	-10	c087 v027 c548	1204	mans1258
36	Middle Lozva Mansi	bark	sul	s u l	-10	c087 v027 c548	1204	mans1258
37	Lower Lozva Mansi	bark	sul	s u l	-10	c087 v027 c548	1204	
38	Pelymka Mansi	bark	sul	s u l	-10	c087 v027 c548	1204	mans1258
39	Konda Mansi	bark	suːl	s uː l	-10	c087 v019 c548	1204	khan1273
40	Tavda Mansi	bark	su	s u	-10	c087 v027	1204	mans1258
41	Vakh Khanty	bark	kæːr	k æː r	11	c831 v199 c151	1204	khan1273
42	Verkhne-Kalymsk Khanty	bark	kæːr	k æː r	11	c831 v199 c151	1204	khan1273
43	Vasjugan Khanty	bark	kæːr	k æː r	11	c831 v199 c151	1204	khan1273
44	Likrisovskoje Khanty	bark	kæːr	k æː r	11	c831 v199 c151	1204	khan1273
45	Malyj Jugan Khanty	bark	kæːr	k æː r	11	c831 v199 c151	1204	khan1273
46	Tremjugan Khanty	bark	kæːr	k æː r	11	c831 v199 c151	1204	mans1258
47	Jugan Khanty	bark	kæːr	k æː r	11	c831 v199 c151	1204	khan1273
