language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens
German		I	1209	1209	ɪx	1069	ɪ x
French		I	1209	1209	ʒə	1069	ʒ ə
French		I	1209	1209	mwɑ	6010	m w ɑ
Dutch		I	1209	1209	ɪk	1069	ɪ k
English		I	1209	1209	aɪ	1069	aɪ
German		a hundred	1634	1634	hʊndərt	867	h ʊ n d ə r t
French		a hundred	1634	1634	sɑ̃	867	s ɑ̃
Dutch		a hundred	1634	1634	hɔndərt	867	h ɔ n d ə r t
English		a hundred	1634	1634	hʌndrəd	867	h ʌ n d r ə d
German		a thousand	1843	1843	tauzənt	875	t au z ə n t
French		a thousand	1843	1843	mil	876	m i l
Dutch		a thousand	1843	1843	dœyzənt	875	d œi z ə n t
English		a thousand	1843	1843	θaʊzṇd	875	θ aʊ z n̩ d
German		all	98	98	alə	1559	a l ə
French		all	98	98	ʃak	1560	ʃ a k
Dutch		all	98	98	ɑlə	1559	ɑ l ə
English		all	98	98	ɔːl	1559	ɔː l
German		bald	1125	1125	kaːl	1144	k aː l
French		bald	1125	1125	ʃov	1146	ʃ o v
Dutch		bald	1125	1125	kaːl	1144	k aː l
English		bald	1125	1125	bɔːld	1145	b ɔː l d
German		blind	1653	1653	blɪnt	278	b l ɪ n t
French		blind	1653	1653	avœɡl	279	a v œ g l
Dutch		blind	1653	1653	blɪnt	278	b l ɪ n t
English		blind	1653	1653	blaɪnd	278	b l aɪ n d
German		broken	588	588	ɡə#brɔxən	53	g ə _ b r ɔ x ə n
French		broken	588	588	bʀiz	54	b ʀ i z
French		broken	588	588	kase	56	k a s e
Dutch		broken	588	588	kaːpɔt	55	k aː p ɔ t
Dutch		broken	588	588	stʉk	57	s t ʉ k
English		broken	588	588	brəʊkən	53	b r əu k ə n
German		calm	258	258	meːrəs#ʃtɪlə	1835	m eː r ə s _ ʃ t ɪ l ə
French		calm	258	258	etale	1837	e t a l e
Dutch		calm	258	258	kɑlm	1836	k ɑ l m
Dutch		calm	258	258	rʉstəx	1838	r ʉ s t ə x
English		calm	258	258	kɑːm	1836	k ɑː m
German		deaf	996	996	taup	274	t au p
French		deaf	996	996	suʀ	275	s u ʀ
Dutch		deaf	996	996	doːf	274	d oː f
English		deaf	996	996	dɛf	274	d ɛ f
German		deep	1593	1593	tiːf	1177	t iː f
French		deep	1593	1593	pʀɔfɔ̃	1178	p ʀ ɔ f ɔ̃
Dutch		deep	1593	1593	diːp	1177	d iː p
English		deep	1593	1593	diːp	1177	d iː p
German		drunk	1463	1463	bə#trʊŋkən	258	b ə _ t r ʊ ŋ k ə n
French		drunk	1463	1463	ivʀ	259	i v ʀ
