language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens
Urdu		I	1209	1209	mɛ̃	62	m ɛ̃
Armenian_Mod		I	1209	1209	jɛs	62	j ɛ s
Czech		I	1209	1209	jaː	62	j aː
German		I	1209	1209	ɪç	62	ɪ ç
Italian		I	1209	1209	io	62	i o
Swedish		I	1209	1209	jɑːɡ	62	j ɑː g
Breton_ST		I	1209	1209	meː	62	m eː
Catalan		I	1209	1209	ʒɔ	62	ʒ ɔ
Danish		I	1209	1209	jɑj	62	j ɑ j
Dutch_List		I	1209	1209	ɪk	62	ɪ k
English		I	1209	1209	aɪ	62	aɪ
French		I	1209	1209	ʒə	62	ʒ ə
Greek_Mod		I	1209	1209	e̞ɣo̞	62	e̞ ɣ o̞
Marathi		I	1209	1209	miː	62	m iː
Polish		I	1209	1209	ja	62	j a
Portuguese_ST		I	1209	1209	eu	62	eu
Russian		I	1209	1209	ja	62	j a
Spanish		I	1209	1209	ʝo	62	ʝ o
Bihari		I	1209	1209	həm	62	h ə m
Bihari		I	1209	1209	mẽ	62	m ẽ
Oriya		I	1209	1209	mũ	62	m ũ
English		all	98	98	ɔːl	175	ɔː l
German		all	98	98	alə	175	a l ə
Armenian_Mod		all	98	98	boloɾ	566	b o l o ɾ
Greek_Mod		all	98	98	o̞lo̞s	965	o̞ l o̞ s
Italian		all	98	98	tutto	543	t u tː o
Marathi		all	98	98	səɾwə	748	s ə ɾ w ə
Danish		all	98	98	ɛl	175	ɛ l
Portuguese_ST		all	98	98	toðu	543	t o ð u
French		all	98	98	tu	543	t u
Russian		all	98	98	vsʲo	1102	v sʲ o
Spanish		all	98	98	toðo	543	t o ð o
Swedish		all	98	98	ala	175	a l a
Bihari		all	98	98	səb	748	s ə b
Oriya		all	98	98	sɔbɔ	748	s ɔ b ɔ
Dutch_List		all	98	98	ɑləs	175	ɑ l ə s
Czech		all	98	98	fʃɪxɲɪ	1102	f ʃ ɪ x ɲ ɪ
