CONCEPT	IPA	DOCULECT	COGID
1396	ˌko̞fte̞ˈro̞s	GREEK	sharp:J
1396	sowr	CLASSICAL_ARMENIAN	sharp:D
1396	suɾ	ARMENIAN_EASTERN	sharp:D
1396	tsɨrʁ	OSSETIC	sharp:A
1396	syrʁ	OSSETIC_IRON	sharp:A
1396	čirʁ	OSSETIC_DIGOR	sharp:A
1396	tejgər	BIHARI	sharp:A
1396	t̪ez	URDU	sharp:A
1396	dʰaɾdaɾ	MARATHI	sharp:E
1396	ti:kʂɳə	MARATHI	sharp:A
1396	ɔstrʊ̆	OLD_CHURCH_SLAVONIC	sharp:C
1396	ˈɔʃtar	SERBO-CROATIAN	sharp:C
1396	ˈɔstər	BULGARIAN	sharp:C
1396	ˈostar	MACEDONIAN	sharp:C
1396	ɔstrɨj	RUSSIAN	sharp:C
1396	ˈɔstrɘ̟	POLISH	sharp:C
1396	ˈvɔstrɨ	BELARUSIAN	sharp:C
1396	ˈɦɔstrɪj	UKRAINIAN	sharp:C
1396	ˈɔstriː	SLOVAK	sharp:C
1396	ˈɔstriː	CZECH	sharp:C
1396	ˈwʊtʀɘ̟	SORBIAN_UPPER	sharp:C
1396	ˈwɘ̟tʂɘ̟	SORBIAN_LOWER	sharp:C
1396	ˈǒːstər	SLOVENIAN	sharp:C
1396	ɣvasː	OLD_NORSE	sharp:H
1396	bitr	OLD_NORSE	sharp:K
1396	skarpr	OLD_NORSE	sharp:B
1396	xʷasː	ICELANDIC	sharp:H
1396	ˈskar̥pʰʏr	ICELANDIC	sharp:B
1396	ˈb̥eiʰtːʏr	ICELANDIC	sharp:K
1396	ˈb̥iːtʰʊɹ	FAROESE	sharp:K
1396	ˈskaɹpʰʊɹ	FAROESE	sharp:B
1396	ˈkʰvasːʊɹ	FAROESE	sharp:H
1396	ʋasː	NORWEGIAN_RIKSMAL	sharp:H
1396	skaɾp	NORWEGIAN_RIKSMAL	sharp:B
1396	ˈkʋasːə	STAVANGERSK	sharp:H
1396	ˈskaʁpə	STAVANGERSK	sharp:B
1396	ˈhvasː	OLD_SWEDISH	sharp:H
1396	ˈbiːter	OLD_SWEDISH	sharp:K
1396	ˈskarper	OLD_SWEDISH	sharp:B
1396	vasː	SWEDISH	sharp:H
1396	skarp	SWEDISH	sharp:B
1396	wɑsː	ELFDALIAN	sharp:H
1396	sg̥ʰɑ:b̥	DANISH	sharp:B
